PHP Symfony Developer,Isabel Group,Berchem,PHP, Symfony, Docker, React,https://www.ictjob.be/nl/vacature/isabel-group-php-symfony-developer/9-170473
Backend Java Engineer,Isabel Group,Brussel,Java, RabbitMQ, Kubernetes,https://www.ictjob.be/nl/vacature/isabel-group-backend-java-engineer/1-277200
Lead Technique PHP / Symfony (employee),Le TEC,Namen,Symfony, PHP, Quality Management,https://www.ictjob.be/nl/vacature/lead-technique-php-symfony-employee/3-231961
Business Analyst - Azure DevOps / MS Dynamics / JIRA / Agile - EU Agency,NTT Data,Amsterdam Buitenveldert,Business Analysis DevOps Agile JIRA,https://www.ictjob.be/nl/vacature/ntt-data-business-analyst-azure-devops-ms-dynamics-jira-agile-eu-agency/1-277009
Repair engineer,Compusearch,Leuven,hardware electronics embedded softw,https://www.ictjob.be/nl/vacature/repair-engineer/1-276850
